jobLink,jobCategory,salaryLow,salaryHighAdj,salaryMean,jobSeniorityCategories,skillsAgr
/pl/job/senior-aws-devops-engineer-cloudbest-remote-rg1t4lv,DevOps,25000,35000,30000,"6. Mid-Senior",Nginx
/pl/job/senior-aws-devops-engineer-cloudbest-remote-rg1t4lv,DevOps,25000,35000,30000,"6. Mid-Senior",PHP
/pl/job/senior-aws-devops-engineer-cloudbest-remote-rg1t4lv,DevOps,25000,35000,30000,"6. Mid-Senior",Nodedotjs
/pl/job/senior-aws-devops-engineer-cloudbest-remote-rg1t4lv,DevOps,25000,35000,30000,"6. Mid-Senior",AWS
/pl/job/senior-aws-devops-engineer-cloudbest-remote-rg1t4lv,DevOps,25000,35000,30000,"6. Mid-Senior",AWS
/pl/job/senior-aws-devops-engineer-cloudbest-remote-rg1t4lv,DevOps,25000,35000,30000,"6. Mid-Senior",AWS
/pl/job/senior-aws-devops-engineer-cloudbest-remote-rg1t4lv,DevOps,25000,35000,30000,"6. Mid-Senior",langpol_high
/pl/job/programista-c-embedded-sii-polska-remote-rgbf857,Embedded,13650,19950,16800,"6. Mid-Senior",spec
/pl/job/programista-c-embedded-sii-polska-remote-rgbf857,Embedded,13650,19950,16800,"6. Mid-Senior",langeng
/pl/job/programista-c-embedded-sii-polska-remote-rgbf857,Embedded,13650,19950,16800,"6. Mid-Senior",langpol_high
/pl/job/programista-c-embedded-sii-polska-remote-rgbf857,Embedded,13650,19950,16800,"6. Mid-Senior",spec
/pl/job/programista-c-embedded-sii-polska-remote-rgbf857,Embedded,13650,19950,16800,"6. Mid-Senior",spec
/pl/job/programista-c-embedded-sii-polska-remote-rgbf857,Embedded,13650,19950,16800,"6. Mid-Senior",spec
/pl/job/programista-c-embedded-sii-polska-remote-rgbf857,Embedded,13650,19950,16800,"6. Mid-Senior",spec
/pl/job/programista-c-embedded-sii-polska-remote-rgbf857,Embedded,13650,19950,16800,"6. Mid-Senior",spec
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",AWS
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",AWS
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",spec
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",AWS
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",AWS
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",spec
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",API
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",AWS
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",AWS
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",Git
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",spec
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",Jenkins
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",Jira
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",Confluence
/pl/job/big-data-developer-ze-znajomoscia-aws-apreel-remote-rgetoqi,"Big Data",26880,38640,32760,"6. Mid-Senior",AWS
