jobLink,jobId,collectDate,jobTitle,salaryLow,jobSeniorityCategories,salaryHighAdj,companyName,jobCategory,employmentType,salaryMean
/pl/job/tesztkoordinator-tesztmenedzser-5151-idbc-creative-solutions-kft-budapest-bmwenuz,bmwenuz,26/02/2023,Tesztkoordinátor/Tesztmenedzser_5151,12438,"5. Mid",17413,"IDBC Creative Solutions Kft.",Testing,B2B,14926
/pl/job/java-full-stack-developer-avenga-warszawa-bmzfxrz,bmzfxrz,26/02/2023,"Java / Full-stack Developer",20160,"5. Mid",23520,Avenga,Fullstack,B2B,21840
/pl/job/senior-devops-engineer-poland-ukraine-codete-remote-bo7erqz,bo7erqz,26/02/2023,"Senior DevOps Engineer (Poland/Ukraine)",26000,"6. Senior",30000,Codete,DevOps,B2B,28000
/pl/job/senior-full-stack-java-developer-hirevision-remote-bod9yrq,bod9yrq,26/02/2023,"Senior Full-Stack Java Developer",20160,"6. Senior",30240,HireVision,Fullstack,B2B,25200
/pl/job/software-engineer-in-test-python-infopulse-warszawa-bodrkad,bodrkad,26/02/2023,"Software Engineer in Test (Python)",20160,"6. Mid-Senior",29400,Infopulse,Testing,B2B,24780
/pl/job/business-development-leader-extengi-warsawa-bpa2ac5,bpa2ac5,26/02/2023,"Business Development Leader",12000,"6. Senior",15000,Extengi,Sales,B2B,13500
/pl/job/java-software-developer-theitgarden-remote-bpiw5gu,bpiw5gu,26/02/2023,"Java Software Developer",16000,"5. Mid",22000,theITgarden,Backend,B2B,19000
/pl/job/net-developer-for-spectra-app-hitachi-energy-remote-bpm8btm,bpm8btm,26/02/2023,".Net Developer for Spectra app",10000,"6. Senior",18000,"Hitachi Energy",Backend,"Employment Contract",14000
/pl/job/specjalista-ds-sprzedazy-rekord-si-bielskobiala-bpug4cv,bpug4cv,26/02/2023,"Specjalista ds. sprzedaży",4000,"3. Junior",6500,"Rekord SI sp. z o.o.",Sales,"Employment Contract",5250
/pl/job/senior-product-owner-htd-remote-bqb8zif,bqb8zif,26/02/2023,"Senior Product Owner",18000,"7. Senior-Expert",26000,HTD,"Product Management",B2B,22000
/pl/job/mlodszy-specjalista-ds-hr-macrix-technology-group-poznan-bqkbbpy,bqkbbpy,26/02/2023,"Młodszy Specjalista ds. HR",4500,"3. Junior",5500,"Macrix Technology Group",HR,"Employment Contract",5000
/pl/job/account-manager-with-french-piwik-pro-remote-bql5ewf,bql5ewf,26/02/2023,"Account Manager with French",7000,"6. Mid-Senior",11000,"Piwik PRO",Sales,B2B,9000
/pl/job/outbound-sales-specialist-grape-up-krakow-bshsi5a,bshsi5a,26/02/2023,"Outbound Sales Specialist",7000,"5. Mid",10000,"Grape Up",Sales,B2B,8500
/pl/job/cybersecurity-specialist-with-splunk-avenga-warszawa-bssqmd0,bssqmd0,26/02/2023,"Cybersecurity Specialist with Splunk",21000,"5. Mid",26880,AVENGA,Security,B2B,23940
/pl/job/devops-engineer-softiq-remote-btpghzf,btpghzf,26/02/2023,"DevOps Engineer",12000,"5. Mid",16800,"SOFTIQ Sp. z o.o.",DevOps,B2B,14400
/pl/job/medior-finance-szoftver-tanacsado-corvex-uzleti-megoldasok-zrt-budapest-btxrpvx,btxrpvx,26/02/2023,"Medior Finance szoftver tanácsadó",7462,"5. Mid",10572,"orvex Üzleti Megoldások Zrt.","IT Support","Employment Contract",9017
/pl/job/senior-react-native-developer-crimson-panda-remote-but11pm,but11pm,26/02/2023,"Senior React Native Developer",25000,"6. Senior",35000,"Crimson Panda",Mobile,B2B,30000
/pl/job/remote-sap-basis-mid-administator-link-group-buukmx0,buukmx0,26/02/2023,"Remote SAP Basis Mid Administator",18000,"5. Mid",18000,"Link Group",ERP,B2B,18000
/pl/job/mid-it-helpdesk-engineer-symbioza-it-poznan-bvc7nph,bvc7nph,26/02/2023,"Mid IT Helpdesk Engineer",5500,"5. Mid",6500,Symbioza.IT,"IT Support","Employment Contract",6000
/pl/job/senior-cloud-data-engineer-link-group-warszawa-bvkvo7t,bvkvo7t,26/02/2023,"Senior Cloud Data Engineer",25200,"6. Senior",33600,"Link Group","Big Data",B2B,29400
/pl/job/remote-developer-java-angular-connectis-bwatc1p,bwatc1p,26/02/2023,"Remote Developer Java+Angular",23000,"6. Mid-Senior",28000,Connectis_,Fullstack,B2B,25500
/pl/job/key-account-manager-neontri-warszawa-bwolnoq,bwolnoq,26/02/2023,"Key Account Manager",10000,"6. Senior",14000,Neontri,Sales,B2B,12000
/pl/job/executive-assistant-mindbox-krakow-bxfhige,bxfhige,26/02/2023,"Executive Assistant",9500,"5. Mid",14700,"Mindbox S.A.",Backoffice,B2B,12100
/pl/job/dyrektor-administracyjny-codetwo-hrejterzy-remote-bxhmofy,bxhmofy,26/02/2023,"Dyrektor Administracyjny",25000,"6. Senior",40000,"CodeTwo / HRejterzy",Backoffice,"Employment Contract",32500
/pl/job/mlodszy-specjalista-seo-ibif-pl-lublin-by7j5wv,by7j5wv,26/02/2023,"Młodszy Specjalista SEO",3900,"3. Junior",5300,IBIF.PL,Marketing,B2B,4600
/pl/job/3rd-line-support-crm-consultant-gn-remote-byyxrmd,byyxrmd,26/02/2023,"3rd line support - CRM Consultant",21840,"6. Senior",25200,GN,"IT Support",B2B,23520
/pl/job/cloud-engineering-lead-consult-red-remote-bz5mrjz,bz5mrjz,26/02/2023,"Cloud Engineering Lead",25000,"6. Mid-Senior",33000,"Consult Red",Inne,"Employment Contract",29000
/pl/job/it-security-specialist-gr8-tech-remote-bzd36at,bzd36at,26/02/2023,"IT Security Specialist",8926,"5. Mid",17852,"GR8 Tech",Security,B2B,13389
/pl/job/junior-software-engineer-node-js-divante-remote-c0wua5p,c0wua5p,26/02/2023,"Junior Software Engineer (Node.js)",6720,"3. Junior",13440,Divante,Backend,B2B,10080
/pl/job/analityk-projektant-baz-rozliczeniowych-orange-polska-lublin-c1igvyu,c1igvyu,26/02/2023,"Analityk/Projektant Baz Rozliczeniowych",11000,"5. Mid",14000,"Orange Polska","Business Analysis",B2B,12500
/pl/job/devops-engineer-100-remote-astek-polska-c1y659h,c1y659h,26/02/2023,"Devops Engineer (100% remote)",23000,"5. Mid",26250,"ASTEK Polska",DevOps,B2B,24625
/pl/job/java-developer-beesafe-warszawa-c2hce4d,c2hce4d,26/02/2023,"JAVA Developer",12000,"5. Mid",19000,"Beesafe Sp. z o.o.",Backend,B2B,15500
/pl/job/senior-java-developer-fully-remote-antal-poland-c2mlktu,c2mlktu,26/02/2023,"Senior Java Developer (fully remote)",24000,"6. Mid-Senior",30000,"Antal Poland",Backend,B2B,27000
/pl/job/informaciobiztonsagi-kutatomernok-search-lab-kft-budapest-c2nyznn,c2nyznn,26/02/2023,"Információbiztonsági kutatómérnök",12438,"6. Senior",24876,"h-Lab Kft",Security,"Employment Contract",18657
/pl/job/junior-magento-backend-developer-monogo-lublin-c3naexo,c3naexo,26/02/2023,"Junior Magento Backend Developer",6000,"3. Junior",8500,Monogo,Backend,B2B,7250
/pl/job/remote-qlik-mid-developer-link-group-c3x76vz,c3x76vz,26/02/2023,"Remote Qlik Mid Developer",16800,"5. Mid",23520,"Link Group","Business Intelligence",B2B,20160
